RGIId,base dV,Area,uncert.,dt,Mean dH35,Med. dH35,dH interp.35,Z interp.35,1km neighborhood35,Glob. Mean Hyps.35,Glob. Med. Hyps.35,Glob. Poly. Hyps.35,Loc. Mean Hyps.35,Loc. Med. Hyps.35,Loc. Poly. Hyps.35,Pct Void35,Mean dH50,Med. dH50,dH interp.50,Z interp.50,1km neighborhood50,Glob. Mean Hyps.50,Glob. Med. Hyps.50,Glob. Poly. Hyps.50,Loc. Mean Hyps.50,Loc. Med. Hyps.50,Loc. Poly. Hyps.50,Pct Void50,Mean dH70,Med. dH70,dH interp.70,Z interp.70,1km neighborhood70,Glob. Mean Hyps.70,Glob. Med. Hyps.70,Glob. Poly. Hyps.70,Loc. Mean Hyps.70,Loc. Med. Hyps.70,Loc. Poly. Hyps.70,Pct Void70,Mean dH80,Med. dH80,dH interp.80,Z interp.80,1km neighborhood80,Glob. Mean Hyps.80,Glob. Med. Hyps.80,Glob. Poly. Hyps.80,Loc. Mean Hyps.80,Loc. Med. Hyps.80,Loc. Poly. Hyps.80,Pct Void80,Mean dH90,Med. dH90,dH interp.90,Z interp.90,1km neighborhood90,Glob. Mean Hyps.90,Glob. Med. Hyps.90,Glob. Poly. Hyps.90,Loc. Mean Hyps.90,Loc. Med. Hyps.90,Loc. Poly. Hyps.90,Pct Void90,Mean dH95,Med. dH95,dH interp.95,Z interp.95,1km neighborhood95,Glob. Mean Hyps.95,Glob. Med. Hyps.95,Glob. Poly. Hyps.95,Loc. Mean Hyps.95,Loc. Med. Hyps.95,Loc. Poly. Hyps.95,Pct Void95
RGI60-01.20500,-103051100.0,3456239.4887694535,11501882.599198846,12.556041534049296,-103218244.69872506,-92980309.9528484,-102966021.38682845,-102899176.31842844,-103355064.45655698,-64802265.98794364,-67392249.24651012,-60729102.51444564,-103520780.72102629,-110288636.89153975,-104317097.33368331,0.07692307692307693,-104635249.62371093,-94916428.48482631,-102811448.30613188,-102411851.4905632,-105072244.51359804,-64631672.826294184,-66422167.734756984,-60603032.96805946,-104644151.1808372,-111450664.65576129,-105049066.97203545,0.21127858627858628,-106813712.58486925,-96551940.2497451,-101477746.74405119,-97975881.95245402,-107922478.65362784,-65447461.942080535,-66160667.806246065,-61319817.56252985,-107003158.97525764,-114780062.71513765,-107127411.08801842,0.49194386694386694,-105140262.40011658,-92616733.9787948,-98979961.40210322,-93045710.81059967,-107329833.89802632,-65371950.73264819,-66216180.22868073,-61989005.04394572,-107124927.02815975,-115390657.25920938,-105412048.46460274,0.6673596673596673,-95178213.47006062,-80701947.44527505,-99785702.00456299,-80321528.19458447,-101714153.45771867,-65393037.17297383,-66021244.68384003,-64272241.99555877,-102892327.6110215,-110161683.18825473,-99028028.66208014,0.8482328482328483,-88004628.50941475,-78304793.06108123,-87083005.80461341,-40924980.90253839,-97832480.12400317,-64478425.980945885,-65221173.91292205,-64144418.16961138,-95026124.02435811,-99216171.63645986,-93421982.72512262,0.9259355509355509
RGI60-01.20504,-61339572.0,2508647.840990926,8993421.274503333,12.556041534049296,-61876873.104767546,-63754014.327155754,-61395946.27836774,-61401019.65485874,-59741267.693533145,-37477726.833681405,-42061890.89200264,-38163951.878195666,-61508795.573980704,-65446640.93924589,-63228094.80073171,0.03150733977801647,-62750168.57358418,-64736098.510024145,-61356432.88553125,-61152304.91578985,-59851703.1004699,-37376732.95934304,-41436146.38964036,-38045001.198268846,-61608333.39628327,-65472870.927244976,-63357237.84490911,0.12746151092015753,-63000177.82363716,-65016070.591155246,-60986111.487279885,-59267085.92814042,-59033359.75364244,-37874481.71636095,-41366813.75282256,-38404407.46909042,-61146354.39951826,-64807044.64546836,-63050470.48660095,0.39992839240959543,-66293969.54657915,-66658006.938986436,-60718625.95690614,-54239120.717867345,-59804569.11721954,-37837487.46897434,-41506724.564946614,-38738246.869587034,-61615055.7955618,-64811886.45705728,-63573912.42207222,0.6237021124239169,-72757285.23680522,-75679278.51463972,-56620004.37841598,-40316919.538153015,-61883530.73960805,-38225709.5358682,-41686576.8141201,-40245832.62177402,-60619565.29864422,-62799482.20122075,-62524544.49127103,0.8546365914786967,-76597073.23753276,-81097890.48026642,-54031873.63906614,-19293622.751038533,-64487021.95079576,-38892967.30976675,-41775339.851357765,-40226384.678558536,-107184769.01255146,-109314324.05748501,-107368631.54480185,0.9480844969566774
RGI60-01.20508,-13216103.0,2276914.528074471,8349830.175488422,12.556041534049296,-13500874.814183943,-15134032.721393425,-13239011.038840946,-13228118.717045449,-14923828.14653698,-18994153.195704967,-19594393.981806505,-22927870.74116265,-13420212.328996997,-13926535.127370276,-13196687.290147403,0.022090729783037475,-13933122.818022512,-15570126.336450657,-13246235.162073974,-13258068.654854057,-15197569.437825963,-18848660.266017176,-19144466.885626946,-22766094.588587783,-13641483.995750228,-13977370.64049477,-13365836.679717999,0.06745562130177515,-14703914.895197716,-16204532.758610079,-13362038.664468,-13451364.82544481,-15656583.702132544,-18687708.624836072,-18709503.79410444,-22796869.914929938,-13975371.63893478,-14313663.400957728,-13655516.47796028,0.2339250493096647,-14964950.68527939,-16412434.622257503,-13144495.718922103,-14348623.561193129,-15651061.230073882,-18259250.401926495,-18184283.019158114,-22819879.045654655,-14075412.06233163,-14170412.440549146,-13849742.416718466,0.3960552268244576,-15628769.193241622,-16513328.17373346,-14506071.028950732,-24812710.80442686,-16104475.834021106,-17808098.81861322,-17563201.391869508,-23783667.956621755,-14829475.974617325,-15047027.691561028,-14627770.664949955,0.6978303747534517,-16742264.72731605,-16560300.653621715,-15017897.87944728,-37679675.98820778,-16042991.843960123,-18059785.30725878,-17698189.69554483,-23885198.640505847,-16181602.734929327,-16889624.70299151,-15982718.306796368,0.8938856015779093
RGI60-01.20510,-18075696.0,2335296.9518712526,8513305.492850747,12.556041534049296,-17992816.97330897,-14197362.560308104,-18109750.697720915,-17999480.193062924,-18424857.901063025,-22787610.827405915,-24484623.686611418,-26155981.961513918,-17797794.18047072,-17015459.175916485,-16547705.090836,0.09192307692307693,-17848356.420011304,-14312958.619144017,-18088178.321956825,-17734036.64409842,-18199327.72067498,-22578748.057128843,-23970605.740942933,-26002250.93500672,-17461084.778611977,-16977870.227758624,-16285452.576393325,0.22923076923076924,-17105489.60818425,-13852712.412015582,-17429218.290382754,-16187084.858558081,-17080628.907335553,-22497898.574991755,-23631007.04064689,-26103014.99872256,-17829555.411926273,-17166635.971382573,-16520569.894583337,0.5219230769230769,-15583657.827940242,-13538849.870022144,-16867580.426025458,-16125227.20695056,-15538929.434801452,-22157878.847601023,-23395849.37402697,-26192183.274538867,-17523391.525787164,-16234804.77118188,-16235204.746921834,0.6934615384615385,-13156802.044865167,-12120767.022477765,-13209504.056621542,4203900.280656764,-14544554.659684807,-21946426.760691617,-23209227.360026807,-27260292.173892368,-16097420.121625958,-12914151.795418119,-15260032.3158821,0.8823076923076923,-10874701.907523712,-8760926.949875887,-19595716.708595652,-15022637.942821648,-14272848.332686817,-22321114.560770813,-23369901.82503724,-27334901.68363026,-26025081.129216194,-25248954.52002905,-24972851.968450688,0.9507692307692308
RGI60-01.20515,3022630.2,2814032.8270048588,9821681.270836161,12.556041534049296,2780523.5066119707,790587.9579286722,2993721.708894208,3014564.742930732,2089664.0434215085,-29665856.79358754,-28330436.03753686,-31384668.330620535,2856574.106363992,2171391.103909087,2905471.359858303,0.013405681455473986,2638159.129905596,767830.4292678968,3024697.680961176,3054737.3063123524,1982929.2892191147,-29404102.494540244,-27748787.10622494,-31199293.609388385,2969415.069149038,2179281.195520535,2902691.9231785247,0.03862112990743696,1614156.7208256295,413585.87935960083,3008150.219715199,3418560.414499135,1163721.521137877,-29230227.075831775,-27134255.958817855,-31337222.08560828,2695176.001034564,2885925.6155572874,2365263.774620639,0.13341844877114586,335364.0869535482,-332174.0409806761,2516275.0099531393,1693908.222952068,152897.85335809962,-28747708.973964218,-26606647.60938874,-31460130.420225173,1963195.8370050509,2285049.122399762,1768443.2854510834,0.24385572933290775,-1747408.69321978,-998497.3046748502,3465184.121682129,4370522.19194956,-1409753.7474727393,-28066827.464993376,-25867204.740105875,-32653226.475475583,467107.6330621835,2363957.93277227,700271.341675853,0.5352697095435685,-1511809.901740145,-1564687.4422616127,1381637.141448057,-7708286.849123171,-336649.09849882824,-27491015.021781567,-25516834.76330406,-32723920.433232874,-97454.83460858378,1889098.576899028,497446.80164843536,0.7778487073092882
RGI60-01.20517,496173.75,1453273.256972187,5924644.754354509,12.556041534049296,537465.94640836,166256.692216648,590019.147310778,285177.43974845455,447155.27965162357,-8475184.193538835,-8076196.990117662,-11573777.831026386,84691.13509117298,-426240.8135442172,-255111.93877375015,0.0768277571251549,457941.92430592404,153780.8041897468,609961.2491501522,283848.68262331706,400613.69468058855,-8177474.180605157,-7723287.693651004,-11457055.963282073,96246.02634844347,-414397.5625840742,-257082.323648397,0.08178438661710037,286652.9777892519,89233.56790872247,632267.7909106081,249272.59996934622,297433.1382798068,-7758583.798422375,-7363580.5638846895,-11407599.313892685,42617.04230768239,-538081.5080519601,-49907.170309199806,0.10656753407682776,-69793.87346237704,-123254.69518775448,613758.1679754274,49878.553623857704,26786.17685183802,-7310518.431427142,-7025487.035452157,-11356769.063606875,-330732.4617512589,-853936.1441296155,-417459.65755815123,0.16604708798017348,-1154312.564560137,-766249.5766876912,649004.7143491949,-776229.8923963108,-940550.6274747006,-6853077.755886958,-6728362.513322031,-11833548.917029742,-1016403.0442817057,-1364296.4169129992,-1158623.804017971,0.3475836431226766,-2015221.7665073462,-1156275.920110248,-786987.7925204331,-1695133.148655677,-1787453.0973461517,-6892358.706681599,-6830212.91465615,-11921555.85977653,-1458979.160887467,-1717239.5929036832,-1781048.3323106782,0.5396530359355638
RGI60-01.20531,-10482268.0,1319442.7778072576,5503926.980252358,12.556041534049296,-9267662.48149041,-13015806.92350858,-10448325.918516116,-10323824.698057655,-8187545.499566016,-4234876.033438788,-3553117.6039722925,-6689003.058517027,-10454694.83046306,-10778185.735828152,-10407306.476676326,0.09802586793737236,-9007187.996196395,-12915060.895979475,-10434974.096775815,-10192104.617204852,-8112316.729143017,-3979456.876456882,-3298918.5484252027,-6565579.404279034,-10682367.863335112,-10947070.229185006,-10645280.639131755,0.1504424778761062,-9096270.03863631,-13990329.448792128,-10116565.339299522,-13450408.743083956,-8326684.428683139,-3616025.849752028,-3014306.6445502904,-6442142.592944332,-11804919.074590934,-12336054.403077848,-11763118.978346411,0.33151803948264125,-8689726.774107588,-13715794.51046541,-9932755.435435966,-13004485.79000284,-8618702.681580499,-3333760.294790223,-2803289.1804021713,-6322277.494796237,-11854668.688667044,-12487967.995959641,-11802149.067163799,0.3669162695711368,-7836976.152489709,-13117922.001771497,-9453613.444583941,-11352144.782683548,-9042353.301352601,-3172373.372992997,-2739019.175113053,-6544298.677491991,-11471337.553189814,-12008747.06252736,-11349241.45000976,0.4554118447923758,-8114719.80347379,-13741887.006803883,-10438211.61970601,-17912120.579474214,-9882732.15374831,-3467953.909824321,-3075633.1880206573,-6646371.433760492,-9785240.698553884,-9754603.960297065,-9537921.488875937,0.5881552076242341
RGI60-01.20535,-48665136.0,4742449.194569313,14677222.549766425,12.556041534049296,-49715188.943729565,-25848432.194521464,-48658280.26964517,-48667732.32792092,-48984186.81796604,-22312888.74390834,-21190255.08151314,-30625784.535240434,-48578492.1266426,-54380743.70684313,-44362958.34107573,0.044886363636363634,-51104035.625961795,-28106768.902042814,-48622661.37743454,-48611455.03959758,-49860751.194870636,-21596856.73536971,-20216047.504232064,-30211869.289893217,-48719557.25471793,-54289345.74170454,-44251821.22231451,0.10852272727272727,-51450297.51860117,-29874188.017157573,-49102067.38736052,-47968037.92493575,-48603108.17744538,-20716760.993708402,-19261121.213608153,-29912641.8251391,-46734968.85560381,-52493184.510259055,-41923765.93647189,0.2941287878787879,-52358836.98460408,-30815499.344107,-48181014.48078384,-48111962.52869584,-47338462.076011814,-19877634.696919393,-18530465.53064735,-29618140.389522865,-44899873.14357702,-49965162.40579422,-39790923.37164064,0.4596590909090909,-51534167.43157276,-30872377.47318005,-50621715.565810315,-58623553.03102756,-43017324.16941974,-19452828.884056237,-18198173.404723708,-30737111.116194274,-41694527.20909146,-47488849.44567536,-37348169.77952756,0.7295454545454545,-44839047.200225815,-18566005.48027773,-44423905.521590985,-70390481.42744112,-37140919.19216724,-20563608.8794564,-19230051.168299716,-31057617.992025763,-32826001.960899185,-33573903.96622615,-33260087.91264109,0.925
RGI60-01.20536,-7383575.5,1872728.5171736775,7190311.781689282,12.556041534049296,-7472090.358835929,-8238450.964588012,-7401037.941075461,-7364407.706697796,-8532142.14233192,-18149257.07343917,-19464022.941936266,-20887620.80585117,-7404832.447766339,-7789520.51848416,-8244650.807842242,0.026378896882494004,-7619280.884425623,-8261311.420119916,-7437415.559196313,-7286807.150308054,-8665944.553023871,-18126530.381723806,-19116172.11058433,-20763851.11996973,-7437650.632657514,-7922320.358406885,-8329631.618345959,0.08393285371702638,-7892169.535458844,-8457339.826306004,-7563809.64730131,-6517684.063699115,-9134053.00257572,-18187686.32150685,-18834604.978172828,-20838746.5772761,-7963192.440763533,-8835250.073475413,-8604915.798509018,0.27865707434052756,-7912942.188450375,-8364297.77229115,-7572225.803496174,-5553162.302445323,-9389112.093677688,-17992822.70212816,-18559288.343837887,-20904702.22593859,-8126697.4358459655,-8730638.874681855,-8919654.603143277,0.4412470023980815,-7242726.764954293,-8086314.633023182,-7147330.083805507,1391725.454992163,-9434813.707666326,-17832299.105159994,-18259885.451127652,-21774956.45926155,-8384794.062008155,-8003585.604799976,-7581054.215387919,0.7280575539568346,-4307379.533133205,-7825076.777432335,-6215076.9793703435,15240291.4079799,-6684276.59080926,-18227924.231802125,-18480080.867370084,-21839545.524145864,-4973508.864134266,-5461146.392331298,-5116049.779890451,0.9251798561151079
RGI60-01.20540,-1383733.2,1288904.2792058643,5406575.323178609,12.556041534049296,-1319519.0685172789,-997909.5936112298,-1339864.3461792027,-1368043.0098433623,-5061057.062775801,-2931748.274835648,-2242967.902855554,-4988530.760016833,-1353884.4387898513,-1033763.3948193543,-1248116.182983207,0.0132404181184669,-1308807.2494968746,-984850.6269151743,-1346119.4492396112,-1394197.3445363685,-5015811.561473076,-2707955.26978308,-2009407.7270610528,-4861117.874056669,-1371552.3364630733,-1042219.8994441256,-1274094.6511502024,0.018815331010452963,-1010103.82168994,-725795.3417940249,-1402140.9416744332,-1552958.767685311,-4931800.4289968135,-2428751.8097953517,-1757658.5229211806,-4711180.477100569,-1295204.226037556,-929500.6398036384,-1228007.534227991,0.07526132404181185,-908532.6039795155,-614715.4564034805,-1204291.977052473,-1237209.9365936907,-5009930.339244149,-2264634.1325761713,-1616903.6830432438,-4566895.80746055,-1291953.4363681774,-744401.1759988903,-1233548.2069371005,0.11707317073170732,-517527.8166191758,-318528.65152005275,-1683081.7962825866,-1733389.6001865757,-5209028.789483574,-2295226.7945590164,-1673474.1553382496,-4690592.6907402,-1013846.9493185628,-473020.8160718667,-952988.4695636183,0.3059233449477352,-313307.3196460388,51606.51899164105,-1150498.6389453218,-2549935.2490336904,-5718284.743283181,-2722091.6930571315,-2109932.550901739,-4797710.755026717,-408446.05953022605,132852.0845609057,-367403.64759243076,0.5832752613240418
